search_keyword,search_cnt,click_cnt,click_rate,is_typo,corrected_keyword,description,category,confidence,suggestion_synonym_mapping,suggestion_synonym_url,suggestion_related_artist_id,suggestion_related_artist_url,suggestion_related_song_id,suggestion_related_song_url,suggestion_theme_keywords
스파이더맨 브랜드뉴데이,115,0,0,false,,"2026년 7월 29일 한국에서 개봉한 마블 영화 '스파이더맨: 브랜드 뉴 데이'를 가리키는 검색어로, 영화 자체를 지칭하며 별도의 OST 음반도 존재한다.",지식,high,,,,,,,"마블 영화 OST, 히어로 영화 사운드트랙, 스파이더맨 시리즈, 영화 개봉 이슈"
오직 너이길,115,1,0.0087,false,,"'오직 너이길'이라는 문구와 명확히 일치하는 곡, 작품, 아티스트를 찾을 수 없어 검색 의도를 특정하기 어렵다.",기타,low,,,,,,,"짝사랑 감성, 가사 검색, 감성 발라드, 미확인 문구"
민찬가,115,2,0.0174,true,만찬가(晩餐歌),,,medium,,,,,,,
함수,115,5,0.0435,false,,"'함수(函數)'는 수학·프로그래밍에서 쓰이는 개념으로, 음악과는 무관한 일반 지식성 검색어로 보인다.",지식,medium,,,,,,,"수학/과학 상식, 프로그래밍 용어, 일반 지식 검색, 비음악 검색어"
zinaflow,113,0,0,false,,"AI 기술을 활용해 감성적인 힙합·알앤비 음악을 만드는 아티스트/프로젝트명으로, 스포티파이·애플뮤직 등에 'Sweet on You' 등의 트랙이 등록되어 있다.",아티스트,medium,,,,,121670638,https://www.melon.com/song/detail.htm?songId=121670638,
bys,113,3,0.0265,false,,"국내 음악과 관련된 명확한 정보는 확인되지 않으며, 해외에는 호주의 화장품 브랜드 'BYS Cosmetics'가 존재하나 멜론 검색어와의 연관성은 뚜렷하지 않다.",기타,low,,,,,,,"미확인 검색어, 해외 브랜드명, 화장품 브랜드, 약어/이니셜 검색"
래드벨벳,113,4,0.0354,true,레드벨벳,,,high,,,,,,,
r,113,4,0.0354,false,,의미 파악이 어려운 단문/입력 오류로 추정,기타,low,,,,,,,"단문 입력, 미확인 검색어, 오타 추정, 한 글자 검색어"
차쿤에네스,112,0,0,false,,"2000년대 인터넷에서 화제였던 듀오 '차쿤&에네스'로, 대표곡 '눈물'이 실화를 바탕으로 했다고 알려지며 큰 인기를 얻었으나 이후 내용이 왜곡된 것으로 드러나 명예훼손 논란이 있었다.",아티스트,medium,,,,,30260915,https://www.melon.com/song/detail.htm?songId=30260915,
제,111,0,0,false,,의미 파악이 어려운 단문/입력 오류로 추정,기타,low,,,,,,,"인기 차트, 최신 발라드, 감성 플레이리스트"
아이우,111,1,0.009,true,아이유,,,high,,,,,,,
l,111,3,0.027,false,,의미 파악이 어려운 단문/입력 오류로 추정,기타,low,,,,,,,"인기 차트, 팝송 추천, 최신 인기곡"
이창섭 잔소리,109,2,0.0183,false,,"그룹 비투비(BTOB) 멤버 이창섭이 방송이나 유튜브에서 종종 언급하는, 어머니로부터 지출 습관 등으로 잔소리를 듣는 일화를 가리키는 표현이다.",아티스트,medium,,,,,,,"아이돌 예능, 유튜브 브이로그, 엄마 잔소리 밈, 비투비"
류우녕,108,0,0,false,,"중국의 배우 겸 가수 류우녕(刘宇宁, Liu Yuning)으로, 스트리트 버스킹과 방송 출연으로 인기를 얻어 배우로도 활동하고 있는 인물이다.",아티스트,high,검색어 '류우녕' → 원어명 '刘宇宁' / 영문독음 'Liu Yuning' 로 멜론 내 매칭 콘텐츠 확인됨 ('Liu Yu Ning (刘宇宁)') → 동의어/다국어 처리 제안,https://www.melon.com/artist/timeline.htm?artistId=2645818,,,,,
나도 같은 일년,108,3,0.0278,false,,"정확한 대상을 특정하기 어려운 검색어로, 노래 가사나 특정 문구의 일부로 추정되나 이를 뒷받침할 명확한 근거는 찾지 못했다.",기타,low,,,,,,,"가사 검색, 감성 발라드, 인생 노래, 위로송"
아사히,108,5,0.0463,false,,"YG엔터테인먼트 소속 보이그룹 트레저(TREASURE)의 멤버 아사히로, 작사·작곡에도 참여하는 프로듀서형 아이돌이다.",아티스트,high,,,,,,,"케이팝 아이돌, 프로듀서형 아이돌, 그룹 트레저, 작사작곡 아이돌"
호시아이,108,5,0.0463,false,,"일본 보컬로이드 프로듀서 아마츠키(天月)가 부른 노래 'ホシアイ(호시아이)'로, 칠석날 견우와 직녀의 만남을 뜻하는 제목의 곡이다.",음원,high,검색어 '호시아이' → 원어명 'ホシアイ' / 영문독음 'Hoshiai' 로 멜론 내 매칭 콘텐츠 확인됨 ('hoshiai') → 동의어/다국어 처리 제안,https://www.melon.com/song/detail.htm?songId=116811535,906882,https://www.melon.com/artist/timeline.htm?artistId=906882,116811535,https://www.melon.com/song/detail.htm?songId=116811535,
힌로로,106,0,0,true,한로로,,,high,,,,,,,
에스피,106,2,0.0189,false,,"나무위키에 따르면 모바일 게임 '트릭컬 리바이브'에 등장하는 캐릭터 이름이 '에스피'이며, 이 외에도 동명의 회사·제품명 등이 존재해 음악과 직접적 관련은 없는 것으로 보인다.",지식,low,,,,,,,"모바일 게임 OST, 게임 캐릭터, 트릭컬 리바이브, 서브컬처 밈"
다윗 ost,106,5,0.0472,false,,"애니메이션 영화 '다윗'의 OST로, 배우 박보검이 더빙과 함께 '빛을 따라'를 부르고 차지연과 듀엣곡 '나의 주님'을 노래했다.",음원,high,,,1203140,https://www.melon.com/artist/timeline.htm?artistId=1203140,39293562,https://www.melon.com/song/detail.htm?songId=39293562,
circle for you,105,4,0.0381,false,,"검색 결과로는 동일한 제목의 뚜렷한 곡이나 아티스트를 특정하기 어려웠으며, 유사한 이름의 건강기능식품 브랜드 등만 확인되어 정확한 실체 파악이 어렵다.",기타,low,,,,,,,"영어 곡 제목, 인디 팝, 브랜드송"
존박 러브어택,104,0,0,false,,"가수 존박이 걸그룹 리센느(RESCENE)의 곡 'LOVE ATTACK(러브어택)'을 자신의 유튜브 채널에서 커버한 버전으로, 편곡에 신경 쓴 점이 화제가 되며 인기를 얻었다.",음원,high,,,,,,,"커버 영상, 유튜브 편곡, 걸그룹 원곡, 리메이크"
와이드씽,103,0,0,true,와일드씽,,,high,,,,,,,
넘버블럭스,102,0,0,true,넘버블록스,,,high,,,,,,,
배민,102,1,0.0098,false,,"배달의민족(배민)은 우아한형제들이 운영하는 국내 대표 배달 음식 주문 애플리케이션으로, 음악과는 무관한 서비스명이다.",지식,high,,,,,,,"브랜드 광고음악, 생활 서비스, 배달 앱"
진건호,101,0,0,false,,"SNS(인스타그램·스레드) 활동 내역을 볼 때 팀 빅터코리아 소속으로 활동하는 배드민턴 코치·선수로 추정되며, 음악과는 관련이 없는 인물이다.",기타,medium,,,,,,,"스포츠 선수, 배드민턴, SNS 인물"
becca packer,100,0,0,false,,"Becca Packer는 미국 뉴욕 출신으로 버클리음대를 졸업한 인디 록 성어송라이터로, 슈게이즈와 90년대 그런지 영향을 받은 음악을 만들며 LA를 기반으로 활동한다.",아티스트,high,,,,,,,"인디 록, 슈게이즈, 그런지 감성, 싱어송라이터"
a20 may,100,0,0,false,,"A2O MAY(A20 MAY)는 이수만이 설립한 A2O 엔터테인먼트 소속의 5인조 다국적(중국계) 걸그룹으로, 2024년 12월 'Under My Skin'으로 데뷔했다.",아티스트,high,검색어 'a20 may' → 원어명 'A2O MAY' / 영문독음 'A20 MAY' 로 멜론 내 매칭 콘텐츠 확인됨 ('A2O MAY') → 동의어/다국어 처리 제안,https://www.melon.com/artist/timeline.htm?artistId=4531270,,,124246238,https://www.melon.com/song/detail.htm?songId=124246238,
